spotify_track_uri,master_metadata_track_name,master_metadata_album_artist_name
spotify:track:000xYdQfIZ4pDmBGzQalKU,"Eu, Você, O Mar e Ela",Luan Santana
spotify:track:001Zhz8LDIdaMrRqr58bm9,I Can't Help You,Last Dinosaurs
spotify:track:002mQ6kXOWDP2i5IZcwDVc,shine,Disco Lines
spotify:track:003FTlCpBTM4eSqYSWPv4H,"Swing, Swing",The All-American Rejects
spotify:track:003Ufao43zAKOtUGadBtNT,Paradise Is You,La Roux
spotify:track:003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers
spotify:track:005lwxGU1tms6HGELIcUv9,I Kissed A Girl,Katy Perry
spotify:track:006Ndmw2hHxvnLbJsBFnPx,Nel blu dipinto di blu,Domenico Modugno
spotify:track:007lsEHi6fP9LoYB7czYUa,Divine Sorrow,Wyclef Jean
spotify:track:00829N8kbRmuLpppY407Qb,"Eat That Up, Its Good For You",Two Door Cinema Club
spotify:track:009jzOyt9tXCqaUzeFIT03,And That Right Soon,Thomas Newman
spotify:track:00Ci0EXS4fNPnkTbS6wkOh,Electric Love - Oliver Remix,BØRNS
spotify:track:00Dn1DmtK0i6mPnNK7an0a,Run Devil Run (런데빌런),K-Pop Songsters
spotify:track:00EhrYVqUD45dwWVoi3vNJ,Weakness,Frills
spotify:track:00GfiT5AxTNSDQihPeMRkM,Waiting For Love,Avicii
spotify:track:00GhORapqmbU4uHc3Xy8bx,Hurry Up,o k h o
spotify:track:00HIh9mVUQQAycsQiciWsh,Limestone,Magic City Hippies
spotify:track:00HMEiBMDkbNCHLJL6zqVk,Christmas In Harlem,Kanye West
spotify:track:00HqKJWFv3GS9cPfEB1WQm,Funky Sensation,Disclosure
spotify:track:00I0pcNkN3IOX3fsYbaB4N,Infatuation,Takeoff
spotify:track:00KiXBZT9vf1XhcqkFrzug,Downward,Ripe
spotify:track:00LVP7lNnj4OL4YMb50OIa,Let's Go to the Forest,Kero Kero Bonito
